Category: All categories

Week,Staycation: (India)
2024-12-29,68
2025-01-05,49
2025-01-12,51
2025-01-19,56
2025-01-26,53
2025-02-02,52
2025-02-09,53
2025-02-16,52
2025-02-23,48
2025-03-02,60
2025-03-09,65
2025-03-16,71
2025-03-23,64
2025-03-30,65
2025-04-06,85
2025-04-13,86
2025-04-20,67
2025-04-27,76
2025-05-04,63
2025-05-11,75
2025-05-18,89
2025-05-25,88
2025-06-01,95
2025-06-08,100
2025-06-15,88
2025-06-22,89
2025-06-29,71
2025-07-06,77
2025-07-13,74
2025-07-20,68
2025-07-27,67
2025-08-03,73
2025-08-10,99
2025-08-17,63
2025-08-24,56
2025-08-31,59
2025-09-07,55
2025-09-14,52
2025-09-21,60
2025-09-28,65
2025-10-05,50
2025-10-12,56
2025-10-19,66
2025-10-26,63
2025-11-02,74
2025-11-09,70
2025-11-16,75
2025-11-23,79
2025-11-30,85
2025-12-07,85
2025-12-14,84
2025-12-21,100
2025-12-28,85
