Category: All categories

Week,Zostel: (India)
2024-12-29,80
2025-01-05,85
2025-01-12,73
2025-01-19,65
2025-01-26,68
2025-02-02,71
2025-02-09,62
2025-02-16,67
2025-02-23,67
2025-03-02,67
2025-03-09,76
2025-03-16,73
2025-03-23,74
2025-03-30,75
2025-04-06,83
2025-04-13,82
2025-04-20,68
2025-04-27,77
2025-05-04,57
2025-05-11,61
2025-05-18,71
2025-05-25,69
2025-06-01,77
2025-06-08,82
2025-06-15,70
2025-06-22,67
2025-06-29,66
2025-07-06,57
2025-07-13,62
2025-07-20,59
2025-07-27,57
2025-08-03,66
2025-08-10,75
2025-08-17,56
2025-08-24,60
2025-08-31,56
2025-09-07,57
2025-09-14,64
2025-09-21,60
2025-09-28,69
2025-10-05,59
2025-10-12,66
2025-10-19,64
2025-10-26,69
2025-11-02,80
2025-11-09,82
2025-11-16,76
2025-11-23,75
2025-11-30,85
2025-12-07,86
2025-12-14,92
2025-12-21,100
2025-12-28,77
