Category: All categories

Week,Coldplay India: (India)
2024-12-29,13
2025-01-05,25
2025-01-12,51
2025-01-19,84
2025-01-26,100
2025-02-02,13
2025-02-09,6
2025-02-16,4
2025-02-23,2
2025-03-02,2
2025-03-09,2
2025-03-16,2
2025-03-23,2
2025-03-30,2
2025-04-06,2
2025-04-13,1
2025-04-20,1
2025-04-27,1
2025-05-04,1
2025-05-11,1
2025-05-18,1
2025-05-25,2
2025-06-01,2
2025-06-08,1
2025-06-15,1
2025-06-22,1
2025-06-29,1
2025-07-06,1
2025-07-13,4
2025-07-20,4
2025-07-27,1
2025-08-03,1
2025-08-10,2
2025-08-17,1
2025-08-24,1
2025-08-31,1
2025-09-07,0
2025-09-14,1
2025-09-21,1
2025-09-28,1
2025-10-05,1
2025-10-12,1
2025-10-19,1
2025-10-26,1
2025-11-02,1
2025-11-09,1
2025-11-16,2
2025-11-23,2
2025-11-30,2
2025-12-07,3
2025-12-14,2
2025-12-21,1
2025-12-28,2
